Date,Open,High,Low,Close,Adj Close,Volume
2024-02-27,437.670013,437.989990,435.029999,437.600006,437.022125,33713200
2024-02-28,435.429993,436.670013,434.299988,435.269989,434.695190,32938800
2024-02-29,438.230011,440.089996,435.019989,439.000000,438.420288,42495200
2024-03-01,439.899994,446.579987,439.839996,445.609985,445.021545,43809200
2024-03-04,445.609985,446.040009,443.769989,444.019989,443.433655,34325700
2024-03-05,440.940002,440.950012,433.649994,436.049988,435.474152,57917100
2024-03-06,440.320007,441.989990,436.890015,438.790009,438.210571,46234500
2024-03-07,442.420013,446.720001,440.859985,445.450012,444.861786,44526700
2024-03-08,445.809998,448.640015,438.339996,439.019989,438.440247,71954300
2024-03-11,437.510010,438.660004,435.440002,437.390015,436.812408,45860000
2024-03-12,439.730011,444.019989,436.459991,443.660004,443.074127,55300900
2024-03-13,442.649994,442.670013,439.119995,440.250000,439.668640,37928700
2024-03-14,441.500000,442.029999,436.390015,439.140015,438.560120,52195200
2024-03-15,436.070007,438.869995,432.739990,433.920013,433.347015,73038800
2024-03-18,438.730011,441.040009,437.239990,437.480011,437.480011,47323800
2024-03-19,435.450012,438.980011,433.329987,438.570007,438.570007,43004100
2024-03-20,439.779999,444.109985,438.059998,443.769989,443.769989,43653500
2024-03-21,448.880005,449.339996,445.670013,445.869995,445.869995,39345700
2024-03-22,445.350006,447.489990,444.489990,446.380005,446.380005,28229300
2024-03-25,443.549988,446.260010,442.540009,444.760010,444.760010,27732800
